City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Poum,NC,76.53,broken clouds,-20.2333,164.0167,
3,Sao Filipe,CV,75.34,clear sky,14.8961,-24.4956,Hotel Xaguate
7,Rikitea,PF,75.07,light rain,-23.1203,-134.9692,People ThankYou
8,Butaritari,KI,81.59,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
10,Kapaa,US,75.18,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
13,San Andres,CO,80.31,overcast clouds,12.5847,-81.7006,Hotel Arena Blanca
16,Avarua,CK,77.05,light rain,-21.2078,-159.775,Paradise Inn
17,Kloulklubed,PW,75.7,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
18,Presidente Medici,BR,83.8,broken clouds,-11.1753,-61.9014,Oliveira Palace Hotel
20,Victoria,HK,78.96,few clouds,22.2855,114.1577,Mini Hotel Central
25,Hun,LY,79.95,clear sky,29.1268,15.9477,Alrwasi Hotel
30,Vaini,TO,77.63,overcast clouds,-21.2,-175.2,Keleti Beach Resort
35,Kampong Thum,KH,83.8,scattered clouds,12.7111,104.8887,Sambor Village Hotel
36,Mahebourg,MU,76.24,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
37,Arraial Do Cabo,BR,85.39,clear sky,-22.9661,-42.0278,Pousada Porto Praia
41,Galle,LK,80.85,broken clouds,6.0367,80.217,Amangalla
47,Puerto Ayora,EC,75.81,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
51,Spring Hill,US,83.14,broken clouds,28.4769,-82.5255,Room of The world By traveline Plus
57,Den Chai,TH,83.75,overcast clouds,17.9837,100.0522,Ruean Saen Hotel
58,Gamba,GA,78.6,light rain,-2.65,10.0,
62,Lagunas,PE,83.03,broken clouds,-5.2269,-75.6753,Hospedaje Eco
65,Danshui,CN,77.16,few clouds,22.7984,114.4672,Grand Skylight International Hotel Huizhou
68,San Patricio,US,84.18,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
70,Eastlake,US,79.48,clear sky,41.6539,-81.4504,Four Points by Sheraton Cleveland-Eastlake
71,Choix,MX,87.26,clear sky,26.7092,-108.3219,Hotel Montesclaros
79,Luba,GQ,80.01,overcast clouds,3.4568,8.5547,
81,Gorontalo,ID,75.06,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
83,Isabela,PH,79.11,overcast clouds,6.7085,121.9711,Isawad Resort
84,Atuona,PF,78.91,few clouds,-9.8,-139.0333,Villa Enata
88,Hithadhoo,MV,85.46,broken clouds,-0.6,73.0833,Scoop Guest House
96,Alofi,NU,79.16,light rain,-19.0595,-169.9187,Taloa Heights
109,Carnarvon,AU,75.99,clear sky,-24.8667,113.6333,Hospitality Carnarvon
110,Bathsheba,BB,86.61,scattered clouds,13.2167,-59.5167,Atlantis Hotel
111,Georgetown,MY,84.13,few clouds,5.4112,100.3354,Cititel Penang
112,Luwuk,ID,78.4,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
113,Bankura,IN,86.09,clear sky,23.25,87.0667,Hotel Priyadarsini
117,Faanui,PF,80.06,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
126,Tena,EC,83.43,light rain,-0.9833,-77.8167,Hostal Tena Ñaui
128,Cerro Blanco,HN,81.23,few clouds,14.6667,-87.7833,
136,Isangel,VU,77.58,broken clouds,-19.55,169.2667,Tanna Lodge
139,Iracoubo,GF,77.67,overcast clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
144,Pochutla,MX,89.82,clear sky,15.7432,-96.4661,Hotel Posada San Jose
148,Caucaia,BR,79.03,moderate rain,-3.7361,-38.6531,M.O.S. Logística - Filial Fortaleza
151,Natal,BR,75.85,light rain,-5.795,-35.2094,Villa Park Hotel | Natal
152,Delta,NG,82.24,light rain,5.5,6.0,Prestige Hotel
153,Samarai,PG,81.86,broken clouds,-10.6167,150.6667,Nuli Sapi
154,Sechura,PE,78.19,few clouds,-5.5569,-80.8222,Hospedaje Costa Bella
158,Cancun,MX,84.13,broken clouds,21.1743,-86.8466,Hotel Tankah Cancun
177,Lingao,CN,76.78,clear sky,19.9103,109.6859,Lingao Ditai Inn
183,Port Blair,IN,83.91,scattered clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
184,Beloha,MG,76.57,overcast clouds,-25.1667,45.05,
185,Coromandel,BR,84.65,broken clouds,-18.4733,-47.2003,Hotel Dona Adélia
192,Sao Jose Da Coroa Grande,BR,84.04,overcast clouds,-8.8978,-35.1478,Crôa Mares Hotel
194,Caravelas,BR,86.52,scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
196,Nishihara,JP,76.68,broken clouds,26.1842,127.7558,Minshuku Agaihama
198,Celestun,MX,85.96,clear sky,20.8667,-90.4,Posada Lilia
201,Dicabisagan,PH,77.09,few clouds,17.0818,122.4157,Nancy Montanes Bernardo
202,Fairhope,US,82.15,clear sky,30.523,-87.9033,Hampton Inn Fairhope-Mobile Bay
205,Manaus,BR,88.29,scattered clouds,-3.1019,-60.025,Manaus Hotéis Millennium
208,Hamilton,US,82.6,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
210,Businga,CD,78.15,light rain,3.3333,20.8833,
213,Sumbe,AO,78.15,overcast clouds,-11.2061,13.8437,Hotel Ritz Sumbe
214,Mandasa,IN,82.08,broken clouds,18.8667,84.4667,Sri venkateswara hotel
