City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Mataura,NZ,-46.1927,168.8643,50.49,98,100,6.89,overcast clouds
1,Bredasdorp,ZA,-34.5322,20.0403,60.01,64,77,9.66,broken clouds
2,Poum,NC,-20.2333,164.0167,76.53,74,81,10.87,broken clouds
3,Sao Filipe,CV,14.8961,-24.4956,75.34,73,5,5.99,clear sky
4,Dikson,RU,73.5069,80.5464,-4.4,100,98,6.15,overcast clouds
5,Ust-Nera,RU,64.5667,143.2,2.44,100,82,4.16,broken clouds
6,Cruzeiro Do Sul,BR,-29.5128,-51.9853,71.49,66,80,4.94,broken clouds
7,Rikitea,PF,-23.1203,-134.9692,75.07,74,100,4.43,light rain
8,Butaritari,KI,3.0707,172.7902,81.59,74,50,16.28,scattered clouds
9,Paamiut,GL,61.994,-49.6678,32.36,98,100,13.71,overcast clouds
10,Kapaa,US,22.0752,-159.319,75.18,87,52,3.0,broken clouds
11,Madingou,CG,-4.1536,13.55,72.82,96,100,0.89,overcast clouds
12,Dasoguz,TM,41.8363,59.9666,74.68,36,43,12.1,scattered clouds
13,San Andres,CO,12.5847,-81.7006,80.31,77,86,8.88,overcast clouds
14,Port Alfred,ZA,-33.5906,26.891,60.19,95,100,11.52,overcast clouds
15,Teguise,ES,29.0605,-13.564,62.82,72,75,11.5,broken clouds
16,Avarua,CK,-21.2078,-159.775,77.05,94,20,8.05,light rain
17,Kloulklubed,PW,7.0419,134.2556,75.7,72,87,5.75,overcast clouds
18,Presidente Medici,BR,-11.1753,-61.9014,83.8,75,72,4.5,broken clouds
19,Bluff,NZ,-46.6,168.3333,50.81,81,100,22.64,overcast clouds
20,Victoria,HK,22.2855,114.1577,78.96,89,11,4.0,few clouds
21,Saint-Ambroise,CA,48.5501,-71.3324,36.57,52,18,8.23,few clouds
22,Whitehorse,CA,60.7161,-135.0538,38.01,64,94,11.01,overcast clouds
23,Ketchikan,US,55.3422,-131.6461,41.5,96,100,8.84,moderate rain
24,New Norfolk,AU,-42.7826,147.0587,49.5,77,84,3.02,broken clouds
25,Hun,LY,29.1268,15.9477,79.95,13,0,9.42,clear sky
26,Darlowo,PL,54.421,16.4107,44.15,84,7,11.9,clear sky
27,Vardo,NO,70.3705,31.1107,37.76,91,100,19.82,overcast clouds
28,Cidreira,BR,-30.1811,-50.2056,66.94,58,38,15.55,scattered clouds
29,Guilin,CN,25.2819,110.2864,70.9,94,1,0.38,clear sky
30,Vaini,TO,-21.2,-175.2,77.63,71,85,4.94,overcast clouds
31,Huilong,CN,31.8111,121.655,62.92,97,68,4.92,broken clouds
32,Eureka,US,40.8021,-124.1637,50.94,90,33,5.73,scattered clouds
33,Ryotsu,JP,38.0833,138.4333,50.45,73,100,3.49,overcast clouds
34,Port Hardy,CA,50.6996,-127.4199,46.58,81,100,12.66,overcast clouds
35,Kampong Thum,KH,12.7111,104.8887,83.8,65,25,4.43,scattered clouds
36,Mahebourg,MU,-20.4081,57.7,76.24,78,75,17.27,broken clouds
37,Arraial Do Cabo,BR,-22.9661,-42.0278,85.39,57,0,9.37,clear sky
38,Castro,BR,-24.7911,-50.0119,67.17,81,100,12.91,overcast clouds
39,Ushuaia,AR,-54.8,-68.3,45.16,68,96,5.64,overcast clouds
40,Calama,CL,-22.4667,-68.9333,70.23,16,0,14.88,clear sky
41,Galle,LK,6.0367,80.217,80.85,81,66,4.05,broken clouds
42,Saint-Joseph,RE,-21.3667,55.6167,73.78,73,41,13.06,scattered clouds
43,Atasu,KZ,48.6814,71.6433,46.45,29,100,17.98,overcast clouds
44,Pisco,PE,-13.7,-76.2167,68.02,82,75,6.91,mist
45,Vanavara,RU,60.34,102.2797,22.66,92,20,3.18,few clouds
46,Hermanus,ZA,-34.4187,19.2345,59.81,68,31,9.78,scattered clouds
47,Puerto Ayora,EC,-0.7393,-90.3518,75.81,80,31,8.55,scattered clouds
48,Tuktoyaktuk,CA,69.4541,-133.0374,17.55,90,11,13.44,few clouds
49,Baykit,RU,61.67,96.37,20.59,94,44,3.83,scattered clouds
50,Cape Town,ZA,-33.9258,18.4232,61.21,63,0,20.71,clear sky
51,Spring Hill,US,28.4769,-82.5255,83.14,51,52,4.0,broken clouds
52,Saskylakh,RU,71.9167,114.0833,-12.03,100,81,2.26,broken clouds
53,Komsomolskiy,UZ,40.4272,71.7189,70.52,40,55,2.3,broken clouds
54,Makakilo City,US,21.3469,-158.0858,73.18,83,100,0.0,light intensity drizzle
55,Hilo,US,19.7297,-155.09,72.63,91,96,4.0,overcast clouds
56,Kosh-Agach,RU,50.0,88.6667,27.45,41,0,4.72,clear sky
57,Den Chai,TH,17.9837,100.0522,83.75,56,94,2.26,overcast clouds
58,Gamba,GA,-2.65,10.0,78.6,86,98,4.23,light rain
59,Severo-Kurilsk,RU,50.6789,156.125,35.6,98,100,12.59,overcast clouds
60,Jamestown,US,42.097,-79.2353,62.94,45,95,5.99,overcast clouds
61,Punta Arenas,CL,-53.15,-70.9167,44.71,87,100,10.36,light rain
62,Lagunas,PE,-5.2269,-75.6753,83.03,80,63,2.86,broken clouds
63,Dobrinka,RU,52.1653,40.4731,53.58,67,83,1.59,broken clouds
64,Barrow,US,71.2906,-156.7887,15.82,86,100,4.61,mist
65,Danshui,CN,22.7984,114.4672,77.16,79,14,1.1,few clouds
66,Thompson,CA,55.7435,-97.8558,42.62,67,90,7.45,overcast clouds
67,Teya,RU,60.3778,92.6267,23.5,97,100,3.78,light snow
68,San Patricio,US,28.017,-97.5169,84.18,66,93,22.28,overcast clouds
69,Yellowknife,CA,62.456,-114.3525,23.5,76,94,11.05,overcast clouds
70,Eastlake,US,41.6539,-81.4504,79.48,36,0,10.36,clear sky
71,Choix,MX,26.7092,-108.3219,87.26,23,0,5.75,clear sky
72,Bar Harbor,US,44.3876,-68.2039,53.65,31,0,10.36,clear sky
73,Busselton,AU,-33.65,115.3333,59.99,65,20,12.86,few clouds
74,Nantucket,US,41.2835,-70.0995,55.54,54,0,9.22,clear sky
75,Balkhash,KZ,46.844,74.9804,55.22,64,96,12.88,overcast clouds
76,Ribeira Grande,PT,38.5167,-28.7,61.2,67,40,18.41,scattered clouds
77,Nadvoitsy,RU,63.8667,34.3167,30.74,83,100,7.25,overcast clouds
78,Talnakh,RU,69.4865,88.3972,-2.72,100,99,4.85,overcast clouds
